 1) database/foo_forum/users.csv
 2)
 3) contains comma-separated seed data for table:
 4)
 5) 	users
 6)
 7) in MySQL database:
 8)
 9) 	foo_forum
10)
11) Row definition adheres to the syntax:
12)
13) id,username,password,age,created_at<NEWLINE>
14)
15) ╔═══════════════════════════════════════════╗
16) ║ LINES 1 THROUGH 17 ARE IGNORED BY LOADER! ║
17) ╚═══════════════════════════════════════════╝
1,username1,68d3e9cc764d97f80a823bb1ec0e0b75984e88892be456f9b7de3a935d7a85e9332f7d314323919c2d15d8688ff425e5d609bfe85ee5d9bb7a8ab89a11e76719,72,2016-09-13 15:55:38
2,username2,3c203182196e8a32d5bc1db6c576cc646ac6dcc875544d69ca28f8c64198382c9f25faeefe0c5ccbaaa80875ff318c4b68e416279224067a6c0ea6ea13a3349b,57,2016-09-13 15:55:39
3,username3,3d00e1a76601b95b407a177d7a5f80e6baccdb59352bc198d94aa59830e4b96e7d0dfcc282b5ed15a971c6491394470b2bf1254d5899c7a9b43d0f390d00e1c6,60,2016-09-13 15:55:40
4,username4,242111d88cffd1543faaf58f41f6352aeaf7fe9f09c437aa9c6fd1e2fc26a15d501f81f2fe2aaa8860d00cd5fb336629d2125c5fd6ef184101616b737d4fbfaa,92,2016-09-13 15:55:41
5,username5,5479ccc4d99b3f407c8c7dad03ae70934cc3b8badccaa073c0a8c5943434b66c9869227143d278be3ac0752754c9d71f0072514ebcfed6fb348e1f917b2458eb,52,2016-09-13 15:55:42
6,username6,c960e2833d31e8bedd26ed360f98e1c03dbfd005252d5f25541286cf2d3d4528eb3b06b4617444c4f3108a26f7b7a5d666faa24c6588cf49ca30bb286e3108a2,69,2016-09-13 15:55:43
7,username7,ce6bde75a9e2e15f6a61ae953c4a983a1c88ebb6bc817e7232153bdf2484e3bc4e84d5df6870abff461ec55a73fa37ba32185fd05419e834d172ead59b51cf90,19,2016-09-13 15:55:44
8,username8,9902c5251b5aea7883bfb04c44af33303a5eb8666987248afabe94d3fe23482313c74672ec543784d19592bdcd86dbb0f3ffb5911706044b161ab23319e569c5,53,2016-09-13 15:55:45
9,username9,ea24963d9f59ef8b61cb284a28166c197f32ab99fe1f53b86d51e1f419af178cf0997e4c576fc4df7fa1dceea3f3d0888a9d1adcd23ce34f2429beb6150200ea,79,2016-09-13 15:55:46
10,username10,b2de008fc783c41751f4030766acb5287b23d1af72474a46242090b28ed7b711abf7f97c261ba0a903fc833c707c46ce3c1b31816ae32bd379280cb7f69fc4c0,88,2016-09-13 15:55:47
11,username11,7ed206663aa03f6d6457bc56544f861e57aa47ee26884fc47a565a82bd1ff26b69490d05cef7929003aa25f0e0372130a5639a3a2b060f2e3ebbded9e8e46e51,30,2016-09-13 15:55:48
12,username12,2165e506adb5b1f945db22ffa1442672a9684fdd3b55fe1913a84238187ea7f7fa007caf879d9994373a291e4e1ecd7287780a18741e99242f6ac57c7c38d800,42,2016-09-13 15:55:49
13,username13,a71c11d786f2bf0e3ebf58fd7a17bba47d3ca07cea9b605ea532399dcfca2e894d774ba970820a3855a3325f82a85ea0d66df8941574e3269ce4fd25859e3a71,45,2016-09-13 15:55:50
