 1) database/foo_shop/clients.csv
 2)
 3) contains comma-separated seed data for table:
 4)
 5) 	clients
 6)
 7) in MySQL database:
 8)
 9) 	foo_shop
10)
11) Row definition adheres to the syntax:
12)
13) id,first_name,last_name,business,email,phone<NEWLINE>
14)
15) ╔═══════════════════════════════════════════╗
16) ║ LINES 1 THROUGH 17 ARE IGNORED BY LOADER! ║
17) ╚═══════════════════════════════════════════╝
1,Sean,Hayes,BazBiz1,bar@example.com,1269090217
2,Frank,Ortiz,BazBiz1,bar@example.com,1176408659
3,Frank,Bryant,BazBiz2,bar@example.com,1089081488
4,Nathan,Burns,BazBiz2,bar@example.com,1133658135
5,Natalie,Morgan,BazBiz3,bar@example.com,1388769311
6,Melissa,Martinez,BazBiz3,bar@example.com,1056222912
7,Natalie,Butler,BazBiz4,bar@example.com,1296215670
8,Alice,Hudson,BazBiz4,bar@example.com,1014936531
9,Kathy,Ellis,BazBiz5,bar@example.com,1365591782
10,Timothy,Hudson,BazBiz5,bar@example.com,1234202824
11,Beverly,Ellis,BazBiz6,bar@example.com,1183567073
12,Linda,Harper,BazBiz6,bar@example.com,1126669675
13,George,Dixon,BazBiz7,bar@example.com,1135440361
14,Richard,Perry,BazBiz7,bar@example.com,1266878094
15,Johnny,Martin,BazBiz8,bar@example.com,1215225452
16,Michael,Wallace,BazBiz8,bar@example.com,1302728295
17,Ralph,Daniels,BazBiz9,bar@example.com,1335989806
18,Laura,Cooper,BazBiz9,bar@example.com,1352822931
19,Christina,Young,BazBiz10,bar@example.com,1360956784
20,Maria,Duncan,BazBiz10,bar@example.com,1319428263
21,Anthony,Gardner,BazBiz11,bar@example.com,1089876694
22,Roger,Thomas,BazBiz11,bar@example.com,1379741397
23,Tyler,Anderson,BazBiz12,bar@example.com,1304132550
24,Nicholas,Wagner,BazBiz12,bar@example.com,1363966515
25,Gerald,Phillips,BazBiz13,bar@example.com,1020829554
26,Adam,Johnson,BazBiz13,bar@example.com,1112792504
27,Jerry,Harris,BazBiz14,bar@example.com,1069336897
28,Kathy,Bell,BazBiz14,bar@example.com,1064981165
29,Kyle,Stewart,BazBiz15,bar@example.com,1211183650
30,Natalie,Miller,BazBiz15,bar@example.com,1239135301
31,Eugene,Miller,BazBiz16,bar@example.com,1215673377
32,Philip,Carter,BazBiz16,bar@example.com,1293366161
33,Nicole,Young,BazBiz17,bar@example.com,1408811101
34,Bryan,Alexander,BazBiz17,bar@example.com,1095960138
35,Sandra,Diaz,BazBiz18,bar@example.com,1201949440
36,James,Robertson,BazBiz18,bar@example.com,1367712550
37,Stephen,Robertson,BazBiz19,bar@example.com,1160927885
38,John,Carpenter,BazBiz19,bar@example.com,1160547599
39,Alice,Cooper,BazBiz20,bar@example.com,1008334703
40,Donna,Porter,BazBiz20,bar@example.com,1284436798
41,Marie,Wells,BazBiz21,bar@example.com,1322139208
42,Amber,Thomas,BazBiz21,bar@example.com,1397267239
43,Jonathan,Jordan,BazBiz22,bar@example.com,1268256510
44,John,Ellis,BazBiz22,bar@example.com,1015927235
45,Thomas,Scott,BazBiz23,bar@example.com,1016191239
